S.No.,HSCode,Commodity,2022-2023,2023-2024,%Growth
66,68,"ARTICLES OF STONE, PLASTER, CEMENT, ASBESTOS, MICA OR SIMILAR MATERIALS.",6090.6,5278.52,-13.33
67,69,CERAMIC PRODUCTS.,3092.03,1814.08,-41.33
68,70,GLASS AND GLASSWARE.,4422.69,4025.57,-8.98
69,71,"NATURAL OR CULTURED PEARLS,PRECIOUS OR SEMIPRECIOUS STONES,PRE.METALS,CLAD WITH PRE.METAL AND ARTCLS THEREOF;IMIT.JEWLRY;COIN.",1057716.92,554245.14,-47.6
70,72,IRON AND STEEL,17712.26,17135.06,-3.26
71,73,ARTICLES OF IRON OR STEEL,75863.33,60832.42,-19.81
72,74,COPPER AND ARTICLES THEREOF.,2709.25,23295.67,759.86
73,75,NICKEL AND ARTICLES THEREOF.,9293.5,2327.6,-74.95
74,76,ALUMINIUM AND ARTICLES THEREOF.,6127.73,3169.99,-48.27
75,78,LEAD AND ARTICLES THEREOF.,7095.48,243275.31,3328.59
76,79,ZINC AND ARTICLES THEREOF.,283184.32,128460.77,-54.64
77,80,TIN AND ARTICLES THEREOF.,624.53,298.04,-52.28
78,81,OTHER BASE METALS; CERMETS; ARTICLES THEREOF.,1438.27,1010.18,-29.76
79,82,"TOOLS IMPLEMENTS, CUTLERY, SPOONS AND FORKS, OF BASE METAL; PARTS THEREOF OF BASE METAL.",27879.41,25621.94,-8.1
80,83,MISCELLANEOUS ARTICLES OF BASE METAL.,5594.37,4975.36,-11.06
81,84,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICAL APPLIANCES; PARTS THEREOF.",994708.48,1170709.95,17.69
82,85,"ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THEREOF; SOUND RECORDERS AND REPRODUCERS, TELEVISION IMAGE AND SOUND RECORDERS AND REPRODUCERS,AND PARTS.",358511.93,305483.66,-14.79
83,86,"RAILWAY OR TRAMWAY LOCOMOTIVES, ROLLING-STOCK AND PARTS THEREOF; RAILWAY OR TRAMWAY TRACK FIXTURES AND FITTINGS AND PARTS THEREOF; MECHANICAL",2579.8,11648.17,351.51
84,87,"VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STOCK, AND PARTS AND ACCESSORIES THEREOF.",23408.36,21725.37,-7.19
85,88,"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",105341.45,103366.36,-1.87
86,89,"SHIPS, BOATS AND FLOATING STRUCTURES.",1273956.88,879810.3,-30.94
87,90,"OPTICAL, PHOTOGRAPHIC CINEMATOGRAPHIC MEASURING, CHECKING PRECISION, MEDICAL OR SURGICAL INST. AND APPARATUS PARTS AND ACCESSORIES THEREOF;",187107.49,204304.27,9.19
88,91,CLOCKS AND WATCHES AND PARTS THEREOF.,3512.15,1196.24,-65.94
89,92,MUSICAL INSTRUMENTS; PARTS AND ACCESSORIES OF SUCH ARTICLES.,365.18,853.27,133.66
90,93,ARMS AND AMMUNITION; PARTS AND ACCESSORIES THEREOF.,0.23,0.02,-93.13
91,94,"FURNITURE; BEDDING, MATTRESSES, MATTRESS SUPPORTS, CUSHIONS AND SIMILAR STUFFED FURNISHING; LAMPS AND LIGHTING FITTINGS NOT ELSEWHERE SPECIFIED OR INC",6672.6,6331.64,-5.11
92,95,"TOYS, GAMES AND SPORTS REQUISITES; PARTS AND ACCESSORIES THEREOF.",2385.32,786.4,-67.03
93,96,MISCELLANEOUS MANUFACTURED ARTICLES.,1880.78,2245.55,19.39
94,97,WORKS OF ART COLLECTORS' PIECES AND ANTIQUES.,3476.65,4650.8,33.77
95,98,PROJECT GOODS; SOME SPECIAL USES.,652.92,922.38,41.27
96,99,MISCELLANEOUS GOODS.,3.32,37.19,1020.16
