S.No.,Country,2022-2023,%Share,2023-2024,%Share,%Growth
96,INDONESIA,8033518.43,2.2183,4951517.09,1.3682,-38.36
97,IRAN,1327244.14,0.3665,1011729,0.2796,-23.77
98,IRAQ,2177664.26,0.6013,2776676.46,0.7673,27.51
99,IRELAND,467244.12,0.129,582089.64,0.1608,24.58
100,ISRAEL,6827425.31,1.8852,3748205.03,1.0357,-45.1
101,ITALY,6976287.42,1.9263,7255314.3,2.0048,4
102,JAMAICA,70520.75,0.0195,90376.63,0.025,28.16
103,JAPAN,4383430.4,1.2104,4269323.34,1.1797,-2.6
104,JERSEY,,,0.01,0,
105,JORDAN,1721009.69,0.4752,1212861.96,0.3351,-29.53
106,KAZAKHSTAN,349939.77,0.0966,195928.53,0.0541,-44.01
107,KENYA,2628344.06,0.7258,2631294.55,0.7271,0.11
108,KIRIBATI REP,1219.96,0.0003,857.83,0.0002,-29.68
109,KOREA DP RP,1371.74,0.0004,1700.23,0.0005,23.95
110,KOREA RP,5327534.58,1.4711,5311498.92,1.4677,-0.3
111,KUWAIT,1255482.91,0.3467,1743093.2,0.4817,38.84
112,KYRGHYZSTAN,42211.78,0.0117,37847.12,0.0105,-10.34
113,LAO PD RP,13660.06,0.0038,10659.24,0.0029,-21.97
114,LATVIA,151126.24,0.0417,182514.03,0.0504,20.77
115,LEBANON,322899.86,0.0892,285446.95,0.0789,-11.6
116,LESOTHO,11931.34,0.0033,4609.05,0.0013,-61.37
117,LIBERIA,208198.54,0.0575,201540.79,0.0557,-3.2
118,LIBYA,272968.23,0.0754,468320.53,0.1294,71.57
119,LIECHTENSTEIN,241.91,0.0001,730.23,0.0002,201.86
120,LITHUANIA,284907.54,0.0787,260445.28,0.072,-8.59
121,LUXEMBOURG,33486.18,0.0092,32806.72,0.0091,-2.03
122,MACAO,3520.7,0.001,795.1,0.0002,-77.42
123,MACEDONIA,22488.09,0.0062,30339.12,0.0084,34.91
124,MADAGASCAR,425495.22,0.1175,191865.5,0.053,-54.91
125,MALAWI,92276.15,0.0255,72216.99,0.02,-21.74
126,MALAYSIA,5726516.72,1.5812,6016559.47,1.6625,5.06
127,MALDIVES,383517.44,0.1059,738744.15,0.2041,92.62
128,MALI,106629.18,0.0294,99089.39,0.0274,-7.07
129,MALTA,248131.56,0.0685,411447.06,0.1137,65.82
130,MARSHALL ISLAND,384.19,0.0001,1815.66,0.0005,372.6
131,MARTINIQUE,4132.49,0.0011,3802.85,0.0011,-7.98
132,MAURITANIA,118109.48,0.0326,79807.9,0.0221,-32.43
133,MAURITIUS,372008.85,0.1027,645385.93,0.1783,73.49
134,MAYOTTE,4511.34,0.0012,6270.5,0.0017,38.99
135,MEXICO,4169331.93,1.1513,4408459.44,1.2182,5.74
136,MICRONESIA,474.84,0.0001,513.32,0.0001,8.1
137,MOLDOVA,9647.02,0.0027,10356.5,0.0029,7.35
138,MONACO,2217.94,0.0006,1954.09,0.0005,-11.9
139,MONGOLIA,27322.3,0.0075,27451.56,0.0076,0.47
140,MONTENEGRO,22906.11,0.0063,28904.98,0.008,26.19
141,MONTSERRAT,118.64,0,100.75,0,-15.08
142,MOROCCO,842705.3,0.2327,855027.77,0.2363,1.46
143,MOZAMBIQUE,2012367.7,0.5557,1650459.78,0.4561,-17.98
144,MYANMAR,650322.91,0.1796,554901.37,0.1533,-14.67
145,N. MARIANA IS.,141.76,0,254.05,0.0001,79.21
146,NAMIBIA,191259.44,0.0528,376022.43,0.1039,96.6
147,NAURU RP,245.55,0.0001,70.47,0,-71.3
148,NEPAL,6477320.15,1.7885,5827488.22,1.6103,-10.03
149,NETHERLAND,17440918.3,4.8159,18526011.14,5.1192,6.22
150,NETHERLANDANTIL,24920.72,0.0069,17734.81,0.0049,-28.84
151,NEW CALEDONIA,14801.16,0.0041,12756.28,0.0035,-13.82
152,NEW ZEALAND,438263.8,0.121,445651.52,0.1231,1.69
153,NICARAGUA,87097.89,0.024,109572.51,0.0303,25.8
154,NIGER,67549.78,0.0187,38991.83,0.0108,-42.28
155,NIGERIA,4137399.82,1.1424,2999722.78,0.8289,-27.5
156,NIUE IS,0.2,0,,,
157,NORFOLK IS,15.73,0,14.85,0,-5.59
158,NORWAY,456533.17,0.1261,333573.48,0.0922,-26.93
159,OMAN,3589458.29,0.9911,3666504.48,1.0131,2.15
160,PACIFIC IS,224.75,0.0001,,,
161,PAKISTAN IR,501974.47,0.1386,986318.47,0.2725,96.49
162,PALAU,180.74,0,121.28,0,-32.9
163,PANAMA REPUBLIC,252442.61,0.0697,245306.84,0.0678,-2.83
164,PAPUA N GNA,68953.6,0.019,58029.82,0.016,-15.84
165,PARAGUAY,125830.27,0.0347,175652.63,0.0485,39.59
166,PERU,695597.25,0.1921,761664.39,0.2105,9.5
167,PHILIPPINES,1680070.34,0.4639,1736519.61,0.4798,3.36
168,PITCAIRN IS.,0.37,0,1.36,0,265.87
169,POLAND,1862284.79,0.5142,2016667.89,0.5573,8.29
170,PORTUGAL,808833.8,0.2233,980218.87,0.2709,21.19
171,PUERTO RICO,213852.94,0.0591,116239.73,0.0321,-45.65
172,QATAR,1580100.45,0.4363,1407972.73,0.3891,-10.89
173,REUNION,38017.22,0.0105,37522.57,0.0104,-1.3
174,ROMANIA,597024.09,0.1649,1472749.84,0.407,146.68
175,RUSSIA,2546269.65,0.7031,3528803.5,0.9751,38.59
176,RWANDA,115459.6,0.0319,110470.45,0.0305,-4.32
177,SAHARWI A.DM RP,23.66,0,54.73,0,131.31
178,SAMOA,981.28,0.0003,1590.77,0.0004,62.11
179,SAN MARINO,372.59,0.0001,429.89,0.0001,15.38
180,SAO TOME,1217.87,0.0003,1267.62,0.0004,4.09
181,SAUDI ARAB,8627137.38,2.3822,9571446.82,2.6448,10.95
182,SENEGAL,911452.81,0.2517,776052.47,0.2144,-14.86
183,SERBIA,66415.23,0.0183,88482.05,0.0244,33.23
184,SEYCHELLES,52144.85,0.0144,63089.21,0.0174,20.99
185,SIERRA LEONE,191421.25,0.0529,221577.45,0.0612,15.75
186,SINGAPORE,9618496.34,2.6559,11939242.02,3.2991,24.13
187,SINT MAARTEN (DUTCH PART),8.96,0,375.1,0.0001,4084.23
188,SLOVAK REP,152851.52,0.0422,159783.45,0.0442,4.54
189,SLOVENIA,491400.52,0.1357,485870.85,0.1343,-1.13
190,SOLOMON IS,2158.18,0.0006,2476.01,0.0007,14.73
191,SOMALIA,761248.09,0.2102,679001.11,0.1876,-10.8
192,SOUTH AFRICA,6787323.04,1.8741,7208657.83,1.9919,6.21
193,SOUTH SUDAN,26150.1,0.0072,34542.26,0.0095,32.09
194,SPAIN,3741006.85,1.033,3967517.76,1.0963,6.05
195,SRI LANKA DSR,4092266.91,1.13,3410982.33,0.9425,-16.65
196,ST HELENA,41.86,0,0.13,0,-99.7
197,ST KITT N A,2118.7,0.0006,4136.33,0.0011,95.23
198,ST LUCIA,4132.72,0.0011,6018.27,0.0017,45.62
199,ST VINCENT,954.51,0.0003,1973.1,0.0005,106.71
200,STATE OF PALEST,2151.12,0.0006,534.58,0.0001,-75.15
201,SUDAN,1469247.73,0.4057,666338.5,0.1841,-54.65
202,SURINAME,9866.33,0.0027,24185.93,0.0067,145.14
203,SVALLBARD AND J,,,87.9,0,
204,SWAZILAND,11884.64,0.0033,20512.93,0.0057,72.6
205,SWEDEN,772058.5,0.2132,843613.8,0.2331,9.27
206,SWITZERLAND,1081303.68,0.2986,1263803.95,0.3492,16.88
207,SYRIA,83554.02,0.0231,52271.08,0.0144,-37.44
208,TAIWAN,2110663.58,0.5828,1523600.84,0.421,-27.81
209,TAJIKISTAN,39609.5,0.0109,42684.12,0.0118,7.76
210,TANZANIA REP,3157853.8,0.872,3826430.09,1.0573,21.17
211,THAILAND,4581006.57,1.2649,4172172.17,1.1529,-8.92
212,TIMOR LESTE,28570.03,0.0079,39713.52,0.011,39
213,TOGO,4851038.81,1.3395,2673621.56,0.7388,-44.89
214,TONGA,1164.51,0.0003,1315.33,0.0004,12.95
215,TRINIDAD,84134.65,0.0232,90263.51,0.0249,7.28
216,TUNISIA,339533.63,0.0938,363777.6,0.1005,7.14
217,TURKEY,7726043.46,2.1334,5505980.24,1.5214,-28.73
218,TURKMENISTAN,71970.34,0.0199,30981.8,0.0086,-56.95
219,TURKS C IS,1417.05,0.0004,915.48,0.0003,-35.4
220,TUVALU,201.18,0.0001,88.34,0,-56.09
221,U ARAB EMTS,25385238.28,7.0095,29509436.52,8.1541,16.25
222,U K,9171501.11,2.5325,10696405.18,2.9557,16.63
223,U S A,63015151.31,17.4001,64176635.11,17.7335,1.84
224,UGANDA,449546.75,0.1241,420533.05,0.1162,-6.45
225,UKRAINE,106502.35,0.0294,143465.66,0.0396,34.71
226,UNSPECIFIED,2448253.58,0.676,2472621.68,0.6832,1
227,URUGUAY,124483.49,0.0344,432683.02,0.1196,247.58
228,US MINOR OUTLYING ISLANDS,91.74,0,249.04,0.0001,171.46
229,UZBEKISTAN,227923.62,0.0629,308589.9,0.0853,35.39
230,VANUATU REP,2716.58,0.0008,3242.28,0.0009,19.35
231,VATICAN CITY,128,0,75.12,0,-41.31
232,VENEZUELA,142370.25,0.0393,145124.68,0.0401,1.93
233,VIETNAM SOC REP,4754342.55,1.3128,4528848.26,1.2514,-4.74
234,VIRGIN IS US,6146.76,0.0017,4830.77,0.0013,-21.41
235,WALLIS F IS,0.89,0,,,
236,YEMEN REPUBLC,799647.98,0.2208,725649.32,0.2005,-9.25
237,ZAMBIA,224632.7,0.062,202279.31,0.0559,-9.95
238,ZIMBABWE,125862.03,0.0348,126169.37,0.0349,0.24


