S.No.,HSCode,Commodity,2022-2023,2023-2024,%Growth
79,82,"TOOLS IMPLEMENTS, CUTLERY, SPOONS AND FORKS, OF BASE METAL; PARTS THEREOF OF BASE METAL.",9639.36,11214.23,16.34
80,83,MISCELLANEOUS ARTICLES OF BASE METAL.,16744.41,20863.35,24.6
81,84,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICAL APPLIANCES; PARTS THEREOF.",462285.92,762374.4,64.91
82,85,"ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THEREOF; SOUND RECORDERS AND REPRODUCERS, TELEVISION IMAGE AND SOUND RECORDERS AND REPRODUCERS,AND PARTS.",480065.44,524935.69,9.35
83,86,"RAILWAY OR TRAMWAY LOCOMOTIVES, ROLLING-STOCK AND PARTS THEREOF; RAILWAY OR TRAMWAY TRACK FIXTURES AND FITTINGS AND PARTS THEREOF; MECHANICAL",4693.73,4815.98,2.6
84,87,"VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STOCK, AND PARTS AND ACCESSORIES THEREOF.",843552.84,1377843.52,63.34
85,88,"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",1314.59,366217.25,27757.89
86,89,"SHIPS, BOATS AND FLOATING STRUCTURES.",40147.64,31153.88,-22.4
87,90,"OPTICAL, PHOTOGRAPHIC CINEMATOGRAPHIC MEASURING, CHECKING PRECISION, MEDICAL OR SURGICAL INST. AND APPARATUS PARTS AND ACCESSORIES THEREOF;",28230.38,44719.23,58.41
88,91,CLOCKS AND WATCHES AND PARTS THEREOF.,511.52,223.87,-56.23
89,92,MUSICAL INSTRUMENTS; PARTS AND ACCESSORIES OF SUCH ARTICLES.,60.04,44.58,-25.76
90,93,ARMS AND AMMUNITION; PARTS AND ACCESSORIES THEREOF.,1.37,3144.55,229028
91,94,"FURNITURE; BEDDING, MATTRESSES, MATTRESS SUPPORTS, CUSHIONS AND SIMILAR STUFFED FURNISHING; LAMPS AND LIGHTING FITTINGS NOT ELSEWHERE SPECIFIED OR INC",44774.11,42709.43,-4.61
92,95,"TOYS, GAMES AND SPORTS REQUISITES; PARTS AND ACCESSORIES THEREOF.",2329.84,2420.35,3.88
93,96,MISCELLANEOUS MANUFACTURED ARTICLES.,10886.85,9427.05,-13.41
94,97,WORKS OF ART COLLECTORS' PIECES AND ANTIQUES.,52.92,335.45,533.89
95,98,PROJECT GOODS; SOME SPECIAL USES.,172.68,198.83,15.15
96,99,MISCELLANEOUS GOODS.,1.97,7.4,275.48
